Epoch,BestFitness,AvgFitness,StdDev
1,0.05409855736993278,10.960899036823266,9.50368858235848
2,0.009456019132079763,6.569472379770664,8.222504931113264
3,0.0037384061873207224,3.973606993582692,5.249589156599339
4,0.0037384061873207224,2.4931302063316236,2.9019654361263276
5,0.0037384061873207224,2.0726269226036518,2.712409056639309
6,0.0037384061873207224,1.4717606451201148,1.6669334092901116
7,0.0037384061873207224,1.0316375141875833,1.3586944164521342
8,0.0037384061873207224,0.7021257375373685,0.8455061004902915
9,0.0037384061873207224,0.5287159550669002,0.5778935487564509
10,0.0037384061873207224,0.40329518838788453,0.40133380216174647
11,0.0037384061873207224,0.32164633684449745,0.35613515443767146
12,0.0009474741986862513,0.28551887030867945,0.3404777410451618
13,0.0009474741986862513,0.25840504959463073,0.35600895609419897
14,0.0009474741986862513,0.21491993784533642,0.23325239325809882
15,0.0009474741986862513,0.1836381660968452,0.24431411297076053
16,0.0009474741986862513,0.18635611009879985,0.24475537307169506
17,0.00010680212049064376,0.18748781824189328,0.2793211040115238
18,0.00010680212049064376,0.16173490251728154,0.16827796489174116
19,0.00010680212049064376,0.13987763984278914,0.13586237638578386
20,0.00010680212049064376,0.1651398303760353,0.18576223865691355
21,0.00010680212049064376,0.17575613505648074,0.2183035421010338
22,0.00010680212049064376,0.19257008408904916,0.24386936509362375
23,0.00010680212049064376,0.2254357054240468,0.4507163071067417
24,0.00010680212049064376,0.22087411987214833,0.46693987964492045
25,0.00010680212049064376,0.20713138371955042,0.3007119610375258
26,0.00010680212049064376,0.2905851999524092,0.47126742758469536
27,0.00010680212049064376,0.2924896768127889,0.5106827040456817
28,0.00010680212049064376,0.28232364036080143,0.5044420225633313
29,0.00010680212049064376,0.3041141079901653,0.5002977280967121
30,0.00010680212049064376,0.2690392553115481,0.32316858922255326
31,0.00010680212049064376,0.21706953117336134,0.2705456931974806
32,0.00010680212049064376,0.24118609491200096,0.5105283023777811
33,0.00010680212049064376,0.21296794825961624,0.25226477132923636
34,0.00010680212049064376,0.20119776810933795,0.2911631789809263
35,0.00010680212049064376,0.24085292637881384,0.3509413331245191
